SJIS,TRANSLATOR,ASCII
ゴヴァンの遺跡,[GVNRNS],Govan Ruins
ルイーズ村,[LISVLLG],Louise Village
プロスバンの町,[PRSBNTWN],Prosban Town
グマグの炎遺跡,[GHMGFLMRNS],Ghumag Flame Ruins
スレンジ採掘場,[SRNGMN],Surange Mine
リュート岩窟,[LTCV],Lute Cave
金の派閥,[GLDFCTN],Gold Faction
レクイの水遺跡,[RKWTRRNS],Rekui Water Ruins
マニグ採掘場,[MNGMN],Manig Mine
ディックル村,[DCKLLVLLG],Deckell Village
ミシュースの廃墟,[MSHSBNDNDST],Mishus Abandoned Site
ベリートの森,[BLTFRST],Beleet Forest
ロブ工房,[RBSWRKSHP],Rob's Workshop
マーネイル宿場,[MRNILPST],Marnail Post Station
ほほえみ亭,[SMLNN],Smile Inn
ピュビックの森,[PBCKFRST],Pubick Forest
スポート洞窟,[SPTGRTT],Spoat Grotto
フラード洞窟,[FLRDGRTT],Flard Grotto
村長の家,[VLLGCHFHSE],Village Chief's House
ギャラハン工房道具屋,[GLLHNWRKSHPTLSHP],Gallahan's Workshop - Toolshop
プロスバンの町福引き屋,[PRSBNLTTRY],Prosban - Lottery Shop
コンシールの森,[CNCLFRST],Conceal Forest
村長の家道具屋,[VLLGCHFSCNDHNDSHP],Village Chief's Second-hand Shop
鉱洞入り口,[MNNTRNC],Mine Entrance
広場,[PLZA],Plaza
駅,[STTN],Station
転送の間,[TRNSFRRM],Transfer Room
メイトルパ,[MTRP],Maetropa
シルターン,[SLTRN],Silturn
